 -1.0447382138E-02  1.8020939474E+00
 -1.3582475126E-02  1.6423651511E+00
 -1.6799155939E-02  1.5382993713E+00
 -1.9668249101E-02  1.4762394543E+00
 -2.1676610366E-02  1.4481373216E+00
 -2.2395241559E-02  1.4498864546E+00
 -2.1672312413E-02  1.4791513702E+00
 -1.9721301821E-02  1.5334389359E+00
 -1.7028452149E-02  1.6092818346E+00
 -1.4137819188E-02  1.7034868869E+00
 -1.1454904685E-02  1.8165475714E+00
 -9.1693154430E-03  1.9553195404E+00
 -9.4720336923E-03  1.8934723493E+00
 -1.3119044803E-02  1.7045481235E+00
 -1.1193274847E-02  1.7571772426E+00
 -1.5568134829E-02  1.5697675417E+00
 -2.0761126391E-02  1.4424891874E+00
 -2.6391170874E-02  1.3567752849E+00
 -3.1700739282E-02  1.3021690006E+00
 -3.5654595849E-02  1.2747467753E+00
 -3.7298627221E-02  1.2740788316E+00
 -3.6224146075E-02  1.2999718017E+00
 -3.2807928483E-02  1.3499374361E+00
 -2.8022075996E-02  1.4181020239E+00
 -2.2952995588E-02  1.4968346264E+00
 -1.8373953287E-02  1.5820378999E+00
 -1.4598807142E-02  1.6788224676E+00
 -1.1592160448E-02  1.7999272700E+00
 -9.1749843560E-03  1.9559966772E+00
 -7.1627803197E-03  1.9765117098E+00
 -9.9339655090E-03  1.8062566212E+00
 -1.3803381330E-02  1.6522637505E+00
 -1.9096030650E-02  1.5115004083E+00
 -1.5725109834E-02  1.5670680498E+00
 -2.2510148313E-02  1.4108684934E+00
 -3.1052791058E-02  1.2982546087E+00
 -4.0871335426E-02  1.2138417480E+00
 -5.0649554254E-02  1.1525331623E+00
 -5.8346695703E-02  1.1157842544E+00
 -6.1930755977E-02  1.1069185679E+00
 -6.0420546342E-02  1.1275080953E+00
 -5.4465478708E-02  1.1750729339E+00
 -4.5963283581E-02  1.2419031493E+00
 -3.7036494228E-02  1.3163198347E+00
 -2.9149289416E-02  1.3887405059E+00
 -2.2839172225E-02  1.4604331438E+00
 -1.7969174559E-02  1.5448957877E+00
 -1.4145769072E-02  1.6572212759E+00
 -1.1034433736E-02  1.8016390888E+00
 -8.4853214996E-03  1.9605870808E+00
  4.5400239315E-03  1.8777873966E+00
  4.6708444947E-03  1.8035530156E+00
  5.5959874831E-03  1.8477388949E+00
  7.3763525146E-03  1.8143537398E+00
 -1.0146749821E-02  1.7076438343E+00
 -1.4173521200E-02  1.5882559659E+00
 -1.9878229721E-02  1.4762412996E+00
 -2.7750234780E-02  1.3660870421E+00
 -2.1245743940E-02  1.4390279648E+00
 -3.1492336759E-02  1.2967557246E+00
 -4.5167144626E-02  1.1821285272E+00
 -6.1745972926E-02  1.0856709561E+00
 -7.9042227309E-02  1.0091625193E+00
 -9.3275287604E-02  9.5889744969E-01
 -9.8482877013E-02  9.5484892296E-01
 -8.8439168142E-02  1.0001212301E+00
 -7.3818032131E-02  1.0677958416E+00
 -5.8529096243E-02  1.1442575797E+00
 -4.5218561069E-02  1.2155825909E+00
 -3.4810370682E-02  1.2781825862E+00
 -2.7000985816E-02  1.3441631969E+00
 -2.1029548197E-02  1.4312721241E+00
 -1.6250175266E-02  1.5474667303E+00
 -1.2359194377E-02  1.6791248611E+00
 -9.3385940176E-03  1.7740159189E+00
  7.2833455065E-03  1.7358599973E+00
  6.2748321856E-03  1.5494815840E+00
  6.3542529178E-03  1.4730527596E+00
  7.5595442491E-03  1.5563460254E+00
 -9.9884147794E-03  1.5730785136E+00
 -1.3881294348E-02  1.5114251694E+00
 -1.9708354838E-02  1.4276514368E+00
 -2.8184970674E-02  1.3391812196E+00
 -4.0078807333E-02  1.2414298375E+00
 -2.7465516329E-02  1.3525403845E+00
 -4.2239844306E-02  1.2096377488E+00
 -6.2984914726E-02  1.0818853049E+00
 -8.9261667572E-02  9.6778100690E-01
 -8.8549806647E-02  9.8407006849E-01
 -6.7306670760E-02  1.0591903930E+00
 -5.0943709700E-02  1.1229440374E+00
 -3.8928826760E-02  1.1846136261E+00
 -2.9948717599E-02  1.2625074733E+00
 -2.2872550466E-02  1.3662060187E+00
 -1.7154333876E-02  1.4837948886E+00
